technique,model,F1-Score,Processing Time,ROC AUC,Memory Usage,Precision,Recall
ICA,SVM,0.9378177978442966,31.218910455703735,0.6478577538166455,15.859375,0.9182401350583413,0.9582484725050916
ICA,SVM,0.9569270117936817,29.37342405319214,0.6424827792752321,16.22265625,0.943758291447897,0.9704684317718941
ICA,MLP,0.945757433333808,374.69743299484253,0.8362648362648363,3.15234375,0.9458102996799534,0.9623217922606925
ICA,MLP,0.9453524435693098,388.4333002567291,0.8341261451726567,3.34765625,0.9280241910395262,0.9633401221995926
ICA,MLP,0.9242903080953506,326.1307547092438,0.8446351931330471,3.140625,0.9007594957711309,0.9490835030549898
ICA,MLP,0.9318000188913735,331.8456177711487,0.8407209771137198,3.01953125,0.9104502221245142,0.9541751527494908
ICA,MLP,0.9378177978442966,378.8983750343323,0.8347373059277883,3.375,0.9182401350583413,0.9582484725050916
ICA,MLP,0.9529007915895324,392.28943514823914,0.8245310538991215,3.08203125,0.9378600968139339,0.9684317718940937
ICA,MLP,0.944843191986108,343.34812474250793,0.8181818181818181,3.14453125,0.9279881911096993,0.9623217922606925
ICA,MLP,0.9393236256780044,370.69611287117004,0.8258492569002123,3.1015625,0.9201927982711205,0.9592668024439919
ICA,MLP,0.9348078001634841,337.52097392082214,0.8469920994625654,3.171875,0.91434103060797,0.9562118126272913
ICA,MLP,0.9348078001634841,385.4550862312317,0.827971369839265,3.03125,0.91434103060797,0.9562118126272913
ICA,Tree,0.934660137569591,3.453333854675293,0.6360773437702497,2.75,0.9266593908650936,0.9439918533604889
ICA,Tree,0.9302795522755014,3.5264270305633545,0.7837512664640325,2.78125,0.9233531466075886,0.9378818737270875
ICA,Tree,0.9267896879522249,3.41322922706604,0.5951494427558257,2.671875,0.9181653680655388,0.9358452138492872
ICA,Tree,0.9181680645481448,3.6679978370666504,0.6987772601001816,2.66796875,0.9076475019381575,0.929735234215886
ICA,Tree,0.9247087102732914,3.525076150894165,0.6443732953871695,2.65234375,0.9173030784487263,0.9327902240325866
ICA,Tree,0.939014279784258,3.4199090003967285,0.6662702607470048,2.578125,0.930556788421393,0.9480651731160896
ICA,Tree,0.93151999142459,3.4763946533203125,0.5790605095541401,2.68359375,0.9246109866249413,0.9389002036659878
